Venue,Borough,Venue Category,Group,Venue Latitude,Venue Longitude,BoroughLocation
Southbank Centre,Lambeth,Performing Arts Venue,Entertainment,51.50584260842922,-0.11698501160850057,"[51.4607, -0.1163]"
Whitehall Gardens,Westminster,Garden,Green spaces,51.506353735053956,-0.12289968472873267,"[51.4973, -0.1372]"
Gordon's Wine Bar,Westminster,Wine Bar,Going out,51.5079110929777,-0.12329310178756714,"[51.4973, -0.1372]"
National Theatre,Lambeth,Theater,Entertainment,51.507375809460164,-0.11479346022907316,"[51.4607, -0.1163]"
Royal Festival Hall,Lambeth,Concert Hall,Entertainment,51.50583775382899,-0.11666729376884177,"[51.4607, -0.1163]"
Southbank Centre Food Market,Lambeth,Street Food Gathering,Eating out,51.50540105577519,-0.11619218373672709,"[51.4607, -0.1163]"
Hayward Gallery,Lambeth,Art Gallery,Entertainment,51.50613585895855,-0.11570921080419792,"[51.4607, -0.1163]"
Southbank Skate Park,Lambeth,Skate Park,Green spaces,51.50691118587987,-0.11663556071175174,"[51.4607, -0.1163]"
The Hop Locker,Lambeth,Beer Bar,Going out,51.505742175420615,-0.1159062792266168,"[51.4607, -0.1163]"
The Savoy Hotel,Westminster,Hotel,Other,51.51044776531987,-0.12087574478136878,"[51.4973, -0.1372]"
Savoy Theatre,Westminster,Theater,Entertainment,51.50994444810864,-0.12086423016972793,"[51.4973, -0.1372]"
Somerset House,Westminster,Event Space,Health and Sports,51.51078575130956,-0.11789917945861816,"[51.4973, -0.1372]"
Lyttelton Theatre,Lambeth,Theater,Entertainment,51.50724882897191,-0.11492608117823881,"[51.4607, -0.1163]"
Corinthia Hotel,Westminster,Hotel,Other,51.506606723475606,-0.12446016991110907,"[51.4973, -0.1372]"
National Theatre Bookshop,Lambeth,Bookstore,Shopping,51.50746712908819,-0.11469479660850866,"[51.4607, -0.1163]"
BFI Southbank,Lambeth,Indie Movie Theater,Entertainment,51.506538709288606,-0.11503007410473354,"[51.4607, -0.1163]"
Dorfman Theatre,Lambeth,Theater,Entertainment,51.50716652355835,-0.11335015296936035,"[51.4607, -0.1163]"
Lyceum Theatre,Westminster,Theater,Entertainment,51.51159771114791,-0.11978483440420226,"[51.4973, -0.1372]"
The Whisky Exchange,Westminster,Liquor Store,Groceries,51.50997403524115,-0.12371298354018469,"[51.4973, -0.1372]"
The London Eye,Lambeth,Scenic Lookout,Other,51.5032865523857,-0.11959433555603027,"[51.4607, -0.1163]"
Smith & Wollensky,Westminster,Steakhouse,Eating out,51.50955719454377,-0.12224099129849153,"[51.4973, -0.1372]"
The Understudy,Lambeth,Pub,Going out,51.50772531959195,-0.11372354476238447,"[51.4607, -0.1163]"
ODEON BFI IMAX,Lambeth,Movie Theater,Entertainment,51.5049953,-0.1135287,"[51.4607, -0.1163]"
Franco Manca,Westminster,Pizza Place,Eating out,51.510908608488776,-0.12277987896741278,"[51.4973, -0.1372]"
Covent Garden Market,Westminster,Shopping Plaza,Shopping,51.51197662809401,-0.12279871749342419,"[51.4973, -0.1372]"
East Trafalgar Square Fountain,Westminster,Fountain,Other,51.508088051633095,-0.12769997119903564,"[51.4973, -0.1372]"
Trafalgar Square,Westminster,Plaza,Other,51.507987,-0.128048,"[51.4973, -0.1372]"
The Southbank Observation Point,Lambeth,Scenic Lookout,Other,51.50829670344467,-0.11118003368266494,"[51.4607, -0.1163]"
National Gallery,Westminster,Art Museum,Entertainment,51.50887601013219,-0.1284778118133545,"[51.4973, -0.1372]"
Royal Ballet School,Westminster,Dance Studio,Health and Sports,51.51291905009796,-0.12219665603755511,"[51.4973, -0.1372]"
Royal Opera House,Westminster,Opera House,Entertainment,51.51308279256784,-0.12196837266870422,"[51.4973, -0.1372]"
Horse Guards Parade,Westminster,Plaza,Other,51.504847331160235,-0.12659034740377378,"[51.4973, -0.1372]"
Lundenwic,Westminster,Coffee Shop,Eating out,51.51282288678408,-0.11834277753045877,"[51.4973, -0.1372]"
Aldwych Theatre,Westminster,Theater,Entertainment,51.51305313198294,-0.1189932876739212,"[51.4973, -0.1372]"
Two Temple Place,Westminster,History Museum,Entertainment,51.511523025573624,-0.11223628412424885,"[51.4973, -0.1372]"
The Queen's Walk,Lambeth,Scenic Lookout,Other,51.508308050234476,-0.11085254445104126,"[51.4607, -0.1163]"
The Delaunay,Westminster,Restaurant,Eating out,51.513181,-0.117988,"[51.4973, -0.1372]"
Terroirs,Westminster,Wine Bar,Going out,51.50954704455508,-0.12524985236318995,"[51.4973, -0.1372]"
The Alchemist,Westminster,Cocktail Bar,Going out,51.51145838787431,-0.12695483787760523,"[51.4973, -0.1372]"
The Harp,Westminster,Pub,Going out,51.50971937506041,-0.12594291840264304,"[51.4973, -0.1372]"
Amorino,Westminster,Ice Cream Shop,Eating out,51.51042726621419,-0.12840081492921637,"[51.4973, -0.1372]"
Apple Covent Garden,Westminster,Electronics Store,Shopping,51.512214,-0.123568,"[51.4973, -0.1372]"
CoCo Ichibanya,Westminster,Japanese Curry Restaurant,Eating out,51.51187523574878,-0.12780946320967984,"[51.4973, -0.1372]"
Spring,Westminster,Restaurant,Eating out,51.510966037425156,-0.1185750961303711,"[51.4973, -0.1372]"
Leake Street Graffiti Tunnel,Lambeth,Street Art,Entertainment,51.501998376031736,-0.11569415881086421,"[51.4607, -0.1163]"
Elizabeth Tower (Big Ben) (Big Ben (Elizabeth Tower)),Westminster,Monument / Landmark,Other,51.50062,-0.124578,"[51.4973, -0.1372]"
London Marriott Hotel County Hall,Lambeth,Hotel,Other,51.50105339352778,-0.11917399999992995,"[51.4607, -0.1163]"
Park Plaza Westminster Bridge,Lambeth,Hotel,Other,51.501,-0.1169,"[51.4607, -0.1163]"
Dishoom,Westminster,Indian Restaurant,Eating out,51.512383261762814,-0.12694895267486572,"[51.4973, -0.1372]"
Temple Brew House,Westminster,Pub,Going out,51.51294,-0.113029,"[51.4973, -0.1372]"
The Old Vic,Lambeth,Theater,Entertainment,51.502175915094945,-0.10968642888657347,"[51.4607, -0.1163]"
Sea Containers London,Southwark,Hotel,Other,51.5084036,-0.1067988,"[51.5035, -0.0804]"
Japan Centre,Westminster,Japanese Restaurant,Eating out,51.509760861810946,-0.13127297164342394,"[51.4973, -0.1372]"
Seven Dials,Camden,Neighborhood,Other,51.51377899123422,-0.12694797135579944,"[51.529, -0.1255]"
House of Vans,Lambeth,Skate Park,Green spaces,51.50067766931536,-0.11394401690060052,"[51.4607, -0.1163]"
The Pig and Goose,Westminster,French Restaurant,Eating out,51.51328712156263,-0.11327268421425365,"[51.4973, -0.1372]"
Udderlicious,Camden,Ice Cream Shop,Eating out,51.51372011564273,-0.12741111080853307,"[51.529, -0.1255]"
Neal's Yard,Camden,Pedestrian Plaza,Other,51.5144435925274,-0.12641346209909118,"[51.529, -0.1255]"
Leicester Square,Westminster,Plaza,Other,51.5105186594565,-0.1300978660583496,"[51.4973, -0.1372]"
Young Vic,Lambeth,Theater,Entertainment,51.503035994714295,-0.10746042968216699,"[51.4607, -0.1163]"
Duck Island Cottage,Westminster,Garden,Green spaces,51.50283358126919,-0.12986760139976541,"[51.4973, -0.1372]"
